Year,Value
2010,1415.5
2011,1787.6
2012,1982.2
2013,1871.1
2014,1792.2
2015,1820.1
2016,1946.8
2017,1962.2
2018,1835.6
2019,1824.8
2020,1958.9
2021,2164.7
