Year,Sex,Value
2010,All Sexes,0.1
2010,Female,0.0
2010,Male,0.1
2015,All Sexes,0.0
2015,Female,0.0
2015,Male,0.0
2019,All Sexes,0.1
2019,Female,0.0
2019,Male,0.2
