Year,Value
2010,3.7
2011,-2.4
2012,1.3
2013,0.9
2014,1.5
2015,5.6
2016,-1.1
2017,2.7
2018,0.4
2019,1.1
2020,-11.1
2021,8.6
2022,0.8
