Year,Series,Units,Value
2018,Total area covered by trees,km2,3.88
2018,N2K sites overlapping with wooded area,km2,0.9
2018,Nationally Designated Areas (CDDA 2020) overlapping with wooded area,km2,2.37
2018,Percentage of wooded area with long-term management plan,Percentage (%),23.32
2018,Percentage of wooded area within legally established protected areas,Percentage (%),61.0
