Year,Series,Type of Product,Value
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,0.001
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,5.543
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.0
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.113
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,3.299
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.00591
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.053
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.038
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.13
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.748
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,0.046
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,0.0
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,0.02411
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,3.59206
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.00645
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,2.552
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.336
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.775
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.119
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.047
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.053
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,8.738
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,2.52523
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.001
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,4.303
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,0.003
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,0.007
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,1.368
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.001
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.00682
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,5.668
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,3.49803
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,0.044
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,0.037
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,1.374
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,0.036
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.301
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,0.005
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,4.295
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,0.0
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,5.51274
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,11.866
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.053
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.045
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.118
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.775
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.06
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,13.806
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,5.36752
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,0.0
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,0.03399
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,4.51159
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.744
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.126
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.068
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,0.05
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.00616
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,5.566
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.0
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,5.426
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,0.002
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,1.065
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,0.174
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,1.425
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,-0.041
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.438
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,0.008
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,4.976
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.001
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,6.009
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.01089
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,0.04
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.123
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,1.479
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,4.10605
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,0.02005
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,0.0
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,5.78269
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,13.582
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.063
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.104
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.783
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.632
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.127
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.13
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.067
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,11.387
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,4.06306
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,0.0
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.826
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,-0.132
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,1.46
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,0.01254
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,3.56649
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,0.047
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.00675
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,4.269
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.001
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,4.518
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,0.07
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,1.48
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.536
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,-0.178
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,0.007
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,5.278
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,4.98
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.00561
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.0
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.101
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.231
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.657
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,0.059
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,4.19397
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,0.01097
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,0.0
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,4.79637
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,13.007
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.056
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.637
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.0
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.06
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,3.596
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,6.503
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,0.008
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.00542
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,0.059
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.295
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,1.343
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.089
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.081
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,11.913
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,3.52005
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,0.0
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,0.00974
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,0.055
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,5.35626
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,1.21
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,4.29082
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,12.796
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.089
