Year,Sex,Value
2010,All Sexes,28.6
2010,Female,23.9
2010,Male,33.3
2015,All Sexes,26.3
2015,Female,22.8
2015,Male,29.8
2018,All Sexes,24.5
2018,Female,22.1
2018,Male,27.7
2019,All Sexes,24.5
2019,Female,21.8
2019,Male,27.1
2020,All Sexes,24
2020,Female,21.6
2020,Male,26.4
