Year,Value,Units,Series
2017,2.636,Freight Tonne-Kilometres (FTK),1. Freight volume (aviation) in tonne kilometres (millions)
2018,4.815,Freight Tonne-Kilometres (FTK),1. Freight volume (aviation) in tonne kilometres (millions)
2019,6.727,Freight Tonne-Kilometres (FTK),1. Freight volume (aviation) in tonne kilometres (millions)
2020,2.904,Freight Tonne-Kilometres (FTK),1. Freight volume (aviation) in tonne kilometres (millions)
2021,2.751,Freight Tonne-Kilometres (FTK),1. Freight volume (aviation) in tonne kilometres (millions)
2022,8.676,Freight Tonne-Kilometres (FTK),1. Freight volume (aviation) in tonne kilometres (millions)
2017,2264.761,Revenue Passenger-Kilometres (RPK),2. Passenger volume (aviation) in passenger kilometres (millions)
2018,3336.935,Revenue Passenger-Kilometres (RPK),2. Passenger volume (aviation) in passenger kilometres (millions)
2019,3372.515,Revenue Passenger-Kilometres (RPK),2. Passenger volume (aviation) in passenger kilometres (millions)
2020,816.241,Revenue Passenger-Kilometres (RPK),2. Passenger volume (aviation) in passenger kilometres (millions)
2021,909.973,Revenue Passenger-Kilometres (RPK),2. Passenger volume (aviation) in passenger kilometres (millions)
2022,3836.117,Revenue Passenger-Kilometres (RPK),2. Passenger volume (aviation) in passenger kilometres (millions)
2010,2.414,Twenty-foot Equivalent Unit (TEU),3. Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2011,2.407,Twenty-foot Equivalent Unit (TEU),3. Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2012,2.59,Twenty-foot Equivalent Unit (TEU),3. Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2013,2.794,Twenty-foot Equivalent Unit (TEU),3. Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2014,2.924,Twenty-foot Equivalent Unit (TEU),3. Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2015,3.121,Twenty-foot Equivalent Unit (TEU),3. Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2016,3.152,Twenty-foot Equivalent Unit (TEU),3. Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2017,3.246,Twenty-foot Equivalent Unit (TEU),3. Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2018,3.414,Twenty-foot Equivalent Unit (TEU),3. Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2019,2.813,Twenty-foot Equivalent Unit (TEU),3. Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2020,2.539,Twenty-foot Equivalent Unit (TEU),3. Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2021,3.076,Twenty-foot Equivalent Unit (TEU),3. Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2022,2.994,Twenty-foot Equivalent Unit (TEU),3. Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2010,8.562,Metric tonnes,4. Unloaded local cargo (maritime transport) in millions of tonnes
2011,7.523,Metric tonnes,4. Unloaded local cargo (maritime transport) in millions of tonnes
2012,6.957,Metric tonnes,4. Unloaded local cargo (maritime transport) in millions of tonnes
2013,6.666,Metric tonnes,4. Unloaded local cargo (maritime transport) in millions of tonnes
2014,7.455,Metric tonnes,4. Unloaded local cargo (maritime transport) in millions of tonnes
2015,7.164,Metric tonnes,4. Unloaded local cargo (maritime transport) in millions of tonnes
2016,7.64,Metric tonnes,4. Unloaded local cargo (maritime transport) in millions of tonnes
2017,7.07,Metric tonnes,4. Unloaded local cargo (maritime transport) in millions of tonnes
2018,6.886,Metric tonnes,4. Unloaded local cargo (maritime transport) in millions of tonnes
2019,8.342,Metric tonnes,4. Unloaded local cargo (maritime transport) in millions of tonnes
2020,6.209,Metric tonnes,4. Unloaded local cargo (maritime transport) in millions of tonnes
2021,5.698,Metric tonnes,4. Unloaded local cargo (maritime transport) in millions of tonnes
2010,4.348,Metric tonnes,5. Loaded local cargo (maritime transport) in millions of tonnes
2011,3.784,Metric tonnes,5. Loaded local cargo (maritime transport) in millions of tonnes
2012,3.214,Metric tonnes,5. Loaded local cargo (maritime transport) in millions of tonnes
2013,2.925,Metric tonnes,5. Loaded local cargo (maritime transport) in millions of tonnes
2014,3.815,Metric tonnes,5. Loaded local cargo (maritime transport) in millions of tonnes
2015,3.043,Metric tonnes,5. Loaded local cargo (maritime transport) in millions of tonnes
2016,3.715,Metric tonnes,5. Loaded local cargo (maritime transport) in millions of tonnes
2017,3.21,Metric tonnes,5. Loaded local cargo (maritime transport) in millions of tonnes
2018,2.413,Metric tonnes,5. Loaded local cargo (maritime transport) in millions of tonnes
2019,2.382,Metric tonnes,5. Loaded local cargo (maritime transport) in millions of tonnes
2020,3.418,Metric tonnes,5. Loaded local cargo (maritime transport) in millions of tonnes
2021,3.932,Metric tonnes,5. Loaded local cargo (maritime transport) in millions of tonnes
