Year,Sex,Value
2010,All Sexes,6.90897
2010,Female,3.08387
2010,Male,10.82393
2015,All Sexes,7.71665
2015,Female,3.43633
2015,Male,11.9299
2019,All Sexes,8.52383
2019,Female,3.78689
2019,Male,13.03324
