Year,Series,Units,Type of Product,Value
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-ferrous ores,0.003
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Crops,0.775
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Grazed biomass and fodder crops,0.119
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Metal ores,0.336
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Crop residues,0.001
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Wild catch and harvest,0.047
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Biomass,1.368
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - industrial or agricultural dominant,0.02411
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - construction dominant,3.59206
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Total or no breakdown,8.738
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Petroleum,2.52523
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Wood,0.053
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Ferrous ores,0.007
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Fossil fuels,2.552
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Coal,0.00645
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Biomass,1.374
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Wood,0.053
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Petroleum,5.51274
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Total or no breakdown,11.866
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - construction dominant,3.49803
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Natural gas,0.044
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - industrial or agricultural dominant,0.037
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Oil shale and tar sands,0.0
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Wild catch and harvest,0.045
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Crop residues,0.001
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Grazed biomass and fodder crops,0.118
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Crops,0.775
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-ferrous ores,0.005
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Metal ores,0.301
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals,4.295
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Coal,0.00682
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Fossil fuels,5.668
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Ferrous ores,0.036
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Fossil fuels,5.566
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Coal,0.00616
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals,5.426
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Metal ores,1.065
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-ferrous ores,0.002
