Year,Value
2010,0.138321213
2011,0.137253922
2012,0.138642795
2013,0.147781177
2014,0.160938057
2015,0.171710242
2016,0.178720455
2017,0.182058659
2018,0.157416886
2019,0.162502181
2020,0.179622891
2021,0.155266234
2022,0.17531147
