Indicator
#1-1-1
#1-2-1
#1-2-2
#1-4-1
#1-a-1
#1-a-2
#10-1-1
#2-1-2
#2-2-3
#2-3-1
#2-a-1
#3-1-1
#3-1-2
#3-2-1
#3-2-2
#3-4-1
#3-4-2
#3-8-1
#3-9-3
#3-a-1
#3-b-1
#3-d-2
