Value,Disaggregation combinations using this value,Number of indicators
Cap/diaphragm,4,1
Coil,4,1
Condom,4,1
Contraceptive pill,4,1
Intra Uterine System,4,1
Natural family planning,4,1
Withdrawal,4,1
