Indicator,Disaggregation combinations using this value
#10-2-1,4
#3-a-1,1
#4-1-1,4
#4-1-2,3
#4-2-2,1
#4-3-1,4
#4-4-1,6
#8-10-2,5
#8-3-1,3
#8-5-1,10
#8-5-2,6
#8-6-1,1
