Indicator
#1-1-1
#1-2-1
#1-2-2
#10-2-1
#2-1-2
#2-3-1
#3-2-1
#3-4-1
#3-4-2
#3-9-3
#3-a-1
#4-1-1
#4-1-2
#4-2-2
#4-3-1
#4-4-1
#8-10-2
#8-3-1
#8-5-1
#8-5-2
#8-6-1
