Indicator,Disaggregation combinations using this value
#10-2-1,1
#10-3-1,1
#11-2-1,1
#16-1-1,2
#16-2-2,1
#16-3-2,1
#16-b-1,1
#17-8-1,1
#4-1-2,3
#4-2-2,1
#4-3-1,9
#8-10-2,1
#8-3-1,3
#8-5-2,4
#8-8-1,10
