Year,Value
2010,0.00
2011,0.00
2012,0.00
2013,0.01
2014,0.01
2015,0.02
2016,0.01
2017,0.03
2018,0.01
2019,0.04
2020,0.00
2021,0.01
2022,0.01
2023,0.03
