Year,Series,Units,Value
2013,Energy intensity (Kilograms of oil equivalent (KGOE) per thousand euro),KGOE per thousand euro,275.11
2014,Energy intensity (Kilograms of oil equivalent (KGOE) per thousand euro),KGOE per thousand euro,261.39
2015,Energy intensity (Kilograms of oil equivalent (KGOE) per thousand euro),KGOE per thousand euro,258.64
2016,Energy intensity (Kilograms of oil equivalent (KGOE) per thousand euro),KGOE per thousand euro,269.36
2017,Energy intensity (Kilograms of oil equivalent (KGOE) per thousand euro),KGOE per thousand euro,291.03
2018,Energy intensity (Kilograms of oil equivalent (KGOE) per thousand euro),KGOE per thousand euro,279.59
2019,Energy intensity (Kilograms of oil equivalent (KGOE) per thousand euro),KGOE per thousand euro,270.38
2020,Energy intensity (Kilograms of oil equivalent (KGOE) per thousand euro),KGOE per thousand euro,274.22
2021,Energy intensity (Kilograms of oil equivalent (KGOE) per thousand euro),KGOE per thousand euro,226.41
2022,Energy intensity (Kilograms of oil equivalent (KGOE) per thousand euro),KGOE per thousand euro,232.71
2010,Energy productivity in Euro per kilogram of oil equivalent (KGOE),Euro per KGOE,2.85
2011,Energy productivity in Euro per kilogram of oil equivalent (KGOE),Euro per KGOE,3.02
2012,Energy productivity in Euro per kilogram of oil equivalent (KGOE),Euro per KGOE,3.29
2013,Energy productivity in Euro per kilogram of oil equivalent (KGOE),Euro per KGOE,3.64
2014,Energy productivity in Euro per kilogram of oil equivalent (KGOE),Euro per KGOE,3.83
2015,Energy productivity in Euro per kilogram of oil equivalent (KGOE),Euro per KGOE,3.87
2016,Energy productivity in Euro per kilogram of oil equivalent (KGOE),Euro per KGOE,3.71
2017,Energy productivity in Euro per kilogram of oil equivalent (KGOE),Euro per KGOE,3.44
2018,Energy productivity in Euro per kilogram of oil equivalent (KGOE),Euro per KGOE,3.58
2019,Energy productivity in Euro per kilogram of oil equivalent (KGOE),Euro per KGOE,3.70
2020,Energy productivity in Euro per kilogram of oil equivalent (KGOE),Euro per KGOE,3.65
2021,Energy productivity in Euro per kilogram of oil equivalent (KGOE),Euro per KGOE,4.42
2022,Energy productivity in Euro per kilogram of oil equivalent (KGOE),Euro per KGOE,4.30
