Year,Series,Sex,Frequency,Age,Method used,Value
2014,Frequency of contraception use in the past 12 months among the sexually active population,,Frequently,<=39,,12.9
2014,Frequency of contraception use in the past 12 months among the sexually active population,,Sometimes,<=39,,13.3
2014,Frequency of contraception use in the past 12 months among the sexually active population,,Rarely,<=39,,8.8
2014,Frequency of contraception use in the past 12 months among the sexually active population,,Never,<=39,,37.8
2014,Frequency of contraception use in the past 12 months among the sexually active population,,Always,40-59,,11.8
2014,Frequency of contraception use in the past 12 months among the sexually active population,,Frequently,40-59,,6.6
2014,Frequency of contraception use in the past 12 months among the sexually active population,,Sometimes,40-59,,8
2014,Frequency of contraception use in the past 12 months among the sexually active population,,Rarely,40-59,,4.9
2014,Frequency of contraception use in the past 12 months among the sexually active population,,Never,40-59,,68.8
2014,Frequency of contraception use in the past 12 months among the sexually active population,,Always,60+,,0.6
2014,Frequency of contraception use in the past 12 months among the sexually active population,,Frequently,60+,,1
2014,Frequency of contraception use in the past 12 months among the sexually active population,,Sometimes,60+,,2.9
2014,Frequency of contraception use in the past 12 months among the sexually active population,,Rarely,60+,,1.6
2014,Frequency of contraception use in the past 12 months among the sexually active population,,Never,60+,,94
2014,Frequency of contraception use in the past 12 months among the sexually active population,,Always,All Ages,,16.4
2014,Frequency of contraception use in the past 12 months among the sexually active population,,Frequently,All Ages,,8.3
2014,Frequency of contraception use in the past 12 months among the sexually active population,,Sometimes,All Ages,,9.3
2014,Frequency of contraception use in the past 12 months among the sexually active population,,Rarely,All Ages,,6
2014,Frequency of contraception use in the past 12 months among the sexually active population,,Never,All Ages,,59.9
2019,Frequency of contraception use in the past 12 months among the sexually active population,,Always,<=39,,30.3
2019,Frequency of contraception use in the past 12 months among the sexually active population,,Frequently,<=39,,16.3
2019,Frequency of contraception use in the past 12 months among the sexually active population,,Sometimes,<=39,,10.9
2019,Frequency of contraception use in the past 12 months among the sexually active population,,Rarely,<=39,,7.3
2019,Frequency of contraception use in the past 12 months among the sexually active population,,Never,<=39,,35.2
2019,Frequency of contraception use in the past 12 months among the sexually active population,,Always,40-59,,16.1
2019,Frequency of contraception use in the past 12 months among the sexually active population,,Frequently,40-59,,9
2019,Frequency of contraception use in the past 12 months among the sexually active population,,Sometimes,40-59,,7.5
2019,Frequency of contraception use in the past 12 months among the sexually active population,,Rarely,40-59,,4.6
2019,Frequency of contraception use in the past 12 months among the sexually active population,,Never,40-59,,62.8
2019,Frequency of contraception use in the past 12 months among the sexually active population,,Always,60+,,3
2019,Frequency of contraception use in the past 12 months among the sexually active population,,Frequently,60+,,1.7
2019,Frequency of contraception use in the past 12 months among the sexually active population,,Sometimes,60+,,4.3
2019,Frequency of contraception use in the past 12 months among the sexually active population,,Rarely,60+,,5.6
2019,Frequency of contraception use in the past 12 months among the sexually active population,,Never,60+,,85.3
2019,Frequency of contraception use in the past 12 months among the sexually active population,,Always,All Ages,,20.9
2019,Frequency of contraception use in the past 12 months among the sexually active population,,Frequently,All Ages,,11.3
2019,Frequency of contraception use in the past 12 months among the sexually active population,,Sometimes,All Ages,,8.6
2019,Frequency of contraception use in the past 12 months among the sexually active population,,Rarely,All Ages,,6.1
2019,Frequency of contraception use in the past 12 months among the sexually active population,,Never,All Ages,,53.1
2014,Contraception method used among individuals who used contraception in the past 12 months,,,<=39,Natural family planning,8.2
2014,Contraception method used among individuals who used contraception in the past 12 months,,,<=39,Withdrawal,36.9
2014,Contraception method used among individuals who used contraception in the past 12 months,,,<=39,Contraceptive pill,21.7
2014,Contraception method used among individuals who used contraception in the past 12 months,,,<=39,Cap/diaphragm,0.7
2014,Contraception method used among individuals who used contraception in the past 12 months,,,<=39,Coil,1.9
2014,Contraception method used among individuals who used contraception in the past 12 months,,,<=39,Intra Uterine System,2.8
2014,Contraception method used among individuals who used contraception in the past 12 months,,,<=39,Condom,70.7
2014,Contraception method used among individuals who used contraception in the past 12 months,,,40-59,Natural family planning,8.9
2014,Contraception method used among individuals who used contraception in the past 12 months,,,40-59,Withdrawal,40.5
2014,Contraception method used among individuals who used contraception in the past 12 months,,,40-59,Contraceptive pill,7.1
2014,Contraception method used among individuals who used contraception in the past 12 months,,,40-59,Cap/diaphragm,0.9
2014,Contraception method used among individuals who used contraception in the past 12 months,,,40-59,Coil,8.9
2014,Contraception method used among individuals who used contraception in the past 12 months,,,40-59,Intra Uterine System,7.4
2014,Contraception method used among individuals who used contraception in the past 12 months,,,40-59,Condom,58.6
2014,Contraception method used among individuals who used contraception in the past 12 months,,,60+,Natural family planning,10
2014,Contraception method used among individuals who used contraception in the past 12 months,,,60+,Withdrawal,36.7
2014,Contraception method used among individuals who used contraception in the past 12 months,,,60+,Contraceptive pill,0
2014,Contraception method used among individuals who used contraception in the past 12 months,,,60+,Cap/diaphragm,0
2014,Contraception method used among individuals who used contraception in the past 12 months,,,60+,Coil,3.3
2014,Contraception method used among individuals who used contraception in the past 12 months,,,60+,Intra Uterine System,3.3
2014,Contraception method used among individuals who used contraception in the past 12 months,,,60+,Condom,40
2014,Contraception method used among individuals who used contraception in the past 12 months,,,All Ages,Natural family planning,8.4
2014,Contraception method used among individuals who used contraception in the past 12 months,,,All Ages,Withdrawal,38
2014,Contraception method used among individuals who used contraception in the past 12 months,,,All Ages,Contraceptive pill,16.7
2014,Contraception method used among individuals who used contraception in the past 12 months,,,All Ages,Cap/diaphragm,0.7
2014,Contraception method used among individuals who used contraception in the past 12 months,,,All Ages,Coil,4.1
2014,Contraception method used among individuals who used contraception in the past 12 months,,,All Ages,Intra Uterine System,4.2
2014,Contraception method used among individuals who used contraception in the past 12 months,,,All Ages,Condom,66.2
2019,Contraception method used among individuals who used contraception in the past 12 months,,,<=39,Natural family planning,7.3
2019,Contraception method used among individuals who used contraception in the past 12 months,,,<=39,Withdrawal,11.4
2019,Contraception method used among individuals who used contraception in the past 12 months,,,<=39,Contraceptive pill,20.3
2019,Contraception method used among individuals who used contraception in the past 12 months,,,<=39,Cap/diaphragm,0
2019,Contraception method used among individuals who used contraception in the past 12 months,,,<=39,Coil,1.6
2019,Contraception method used among individuals who used contraception in the past 12 months,,,<=39,Intra Uterine System,2
2019,Contraception method used among individuals who used contraception in the past 12 months,,,<=39,Condom,71.4
