Year,Series,Product,Value
2017,"Average tariff applied by developed countries, most-favored nation status",Total,2.20
2017,"Average tariff applied by developed countries, preferential status",Total,1.22
2017,"Average tariff applied by developed countries, most-favored nation status",Textiles,7.05
2017,"Average tariff applied by developed countries, preferential status",Textiles,5.20
2017,"Average tariff applied by developed countries, most-favored nation status",Oil,0.00
2017,"Average tariff applied by developed countries, preferential status",Oil,0.00
2017,"Average tariff applied by developed countries, most-favored nation status",Industrial products,1.73
2017,"Average tariff applied by developed countries, preferential status",Industrial products,0.89
2017,"Average tariff applied by developed countries, most-favored nation status",Clothing,10.73
2017,"Average tariff applied by developed countries, preferential status",Clothing,6.38
2017,"Average tariff applied by developed countries, most-favored nation status",Arms,2.81
2017,"Average tariff applied by developed countries, preferential status",Arms,1.87
2017,"Average tariff applied by developed countries, most-favored nation status",Agricultural products,6.42
2017,"Average tariff applied by developed countries, preferential status",Agricultural products,3.88
2018,"Average tariff applied by developed countries, most-favored nation status",Total,2.20
2018,"Average tariff applied by developed countries, preferential status",Total,1.19
2018,"Average tariff applied by developed countries, most-favored nation status",Textiles,7.14
2018,"Average tariff applied by developed countries, preferential status",Textiles,5.29
2018,"Average tariff applied by developed countries, most-favored nation status",Oil,0.00
2018,"Average tariff applied by developed countries, preferential status",Oil,0.00
2018,"Average tariff applied by developed countries, most-favored nation status",Industrial products,1.72
2018,"Average tariff applied by developed countries, preferential status",Industrial products,0.85
2018,"Average tariff applied by developed countries, most-favored nation status",Clothing,10.90
2018,"Average tariff applied by developed countries, preferential status",Clothing,6.54
2018,"Average tariff applied by developed countries, most-favored nation status",Arms,3.09
2018,"Average tariff applied by developed countries, preferential status",Arms,2.15
2018,"Average tariff applied by developed countries, most-favored nation status",Agricultural products,6.46
2018,"Average tariff applied by developed countries, preferential status",Agricultural products,3.92
2019,"Average tariff applied by developed countries, most-favored nation status",Total,2.16
2019,"Average tariff applied by developed countries, preferential status",Total,0.99
2019,"Average tariff applied by developed countries, most-favored nation status",Textiles,7.17
2019,"Average tariff applied by developed countries, preferential status",Textiles,4.88
