Year,Series,Type of Product,Units,Value
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,Tonnes,0.053
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,Tonnes,8.738
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,Tonnes,2.52523
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,Tonnes,0.001
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,Tonnes,4.303
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,Tonnes,0.003
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,Tonnes,0.007
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,Tonnes,1.368
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,Tonnes,0.001
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,Tonnes,0.00682
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,Tonnes,5.668
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,Tonnes,3.49803
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,Tonnes,0.044
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,Tonnes,0.037
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,Tonnes,1.374
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,Tonnes,0.036
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,Tonnes,0.301
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,Tonnes,0.005
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,Tonnes,4.295
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,Tonnes,0.0
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,Tonnes,5.51274
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,Tonnes,11.866
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,Tonnes,0.053
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,Tonnes,0.045
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,Tonnes,0.118
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,Tonnes,0.775
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,Tonnes,0.06
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,Tonnes,13.806
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,Tonnes,5.36752
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,Tonnes,0.0
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,Tonnes,0.03399
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,Tonnes,4.51159
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,Tonnes,0.744
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,Tonnes,0.126
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,Tonnes,0.068
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,Tonnes,0.05
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,Tonnes,0.00616
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,Tonnes,5.566
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,Tonnes,0.0
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,Tonnes,5.426
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,Tonnes,0.002
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,Tonnes,1.065
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,Tonnes,0.174
2015,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,Tonnes,1.425
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,Tonnes,-0.041
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,Tonnes,0.438
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,Tonnes,0.008
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,Tonnes,4.976
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,Tonnes,0.001
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,Tonnes,6.009
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,Tonnes,0.01089
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,Tonnes,0.04
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,Tonnes,0.123
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,Tonnes,1.479
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,Tonnes,4.10605
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,Tonnes,0.02005
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,Tonnes,0.0
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,Tonnes,5.78269
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,Tonnes,13.582
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,Tonnes,0.063
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,Tonnes,0.104
2016,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,Tonnes,0.783
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,Tonnes,0.632
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,Tonnes,0.127
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,Tonnes,0.13
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,Tonnes,0.067
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,Tonnes,11.387
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,Tonnes,4.06306
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,Tonnes,0.0
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,Tonnes,0.826
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,Tonnes,-0.132
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,Tonnes,1.46
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,Tonnes,0.01254
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,Tonnes,3.56649
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,Tonnes,0.047
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,Tonnes,0.00675
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,Tonnes,4.269
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,Tonnes,0.001
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,Tonnes,4.518
2017,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,Tonnes,0.07
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,Tonnes,1.48
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,Tonnes,0.536
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,Tonnes,-0.178
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,Tonnes,0.007
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,Tonnes,5.278
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,Tonnes,4.98
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,Tonnes,0.00561
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,Tonnes,0.0
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,Tonnes,0.101
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,Tonnes,0.231
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,Tonnes,0.657
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,Tonnes,0.059
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,Tonnes,4.19397
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,Tonnes,0.01097
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,Tonnes,0.0
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,Tonnes,4.79637
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,Tonnes,13.007
2018,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,Tonnes,0.056
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,Tonnes,0.637
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,Tonnes,0.0
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,Tonnes,0.06
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,Tonnes,3.596
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,Tonnes,6.503
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,Tonnes,0.008
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,Tonnes,0.00542
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,Tonnes,0.059
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,Tonnes,0.295
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,Tonnes,1.343
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,Tonnes,0.089
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,Tonnes,0.081
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,Tonnes,11.913
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,Tonnes,3.52005
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,Tonnes,0.0
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,Tonnes,0.00974
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,Tonnes,0.055
2019,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,Tonnes,5.35626
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,Tonnes,1.21
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,Tonnes,4.29082
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,Tonnes,12.796
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,Tonnes,0.089
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,Tonnes,0.091
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,Tonnes,0.051
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,Tonnes,0.00664
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,Tonnes,0.003
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,Tonnes,0.299
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,Tonnes,0.103
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,Tonnes,0.009
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,Tonnes,4.44
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,Tonnes,6.655
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,Tonnes,0.042
2020,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,Tonnes,5.45295
